,word,segmentation,morph_structure
36884,"tinyere,","ti + nye + re ,","[['t', 'i'], ['ny', 'e'], ['r', 'e', ' ', ',']]"
36885,suspension:,suspension :,"[['s', 'u', 's', 'p', 'e', 'n', 's', 'i', 'o', 'n', ' ', ':']]"
36886,meat,meat,"[['m', 'e', 'a', 't']]"
36887,oner,one,"[['o', 'n', 'e']]"
36888,101.,101 .,"[['1', '0', '1', ' ', '.']]"
36889,Jorginho,Jorginho,"[['J', 'o', 'r', 'g', 'i', 'n', 'h', 'o']]"
36890,"95,","95 ,","[['9', '5', ' ', ',']]"
36891,time).,time ) .,"[['t', 'i', 'm', 'e', ' ', ')', ' ', '.']]"
36892,(Extra,( Extra,"[['(', ' ', 'E', 'x', 't', 'r', 'a']]"
36893,Kilio,Kilio,"[['K', 'i', 'l', 'i', 'o']]"
36894,"kwuo""kwa","kwu + o  "" kwa ""","[['kw', 'u'], ['o', ' ', ' ', '""', ' ', 'kw', 'a', ' ', '""']]"
36895,Lamai,Lamai,"[['L', 'a', 'm', 'a', 'i']]"
36896,Abak,Abak,"[['A', 'b', 'a', 'k']]"
36897,Januarị,janụwarị,"[['j', 'a', 'n', 'ụ', 'w', 'a', 'r', 'ị']]"
36898,Udoyen,Udoyen,"[['U', 'd', 'o', 'y', 'e', 'n']]"
36899,Police),Police ),"[['P', 'o', 'l', 'i', 'c', 'e', ' ', ')']]"
36900,(Assistant,( Assistant,"[['(', ' ', 'A', 's', 's', 'i', 's', 't', 'a', 'n', 't']]"
36901,Kọmishiona,kọmishọna,"[['k', 'ọ', 'm', 'i', 'sh', 'ọ', 'n', 'a']]"
36902,"Udoyen,","Udoyen ,","[['U', 'd', 'o', 'y', 'e', 'n', ' ', ',']]"
36903,anyị-Ndi,anyị + - + ndị,"[['a', 'ny', 'ị'], ['-'], ['n', 'd', 'ị']]"
36904,festivals:,festivals :,"[['f', 'e', 's', 't', 'i', 'v', 'a', 'l', 's', ' ', ':']]"
36905,"steeti.""Badmus","steeti .  "" Badmus ""","[['s', 't', 'e', 'e', 't', 'i', ' ', '.', ' ', ' ', '""', ' ', 'B', 'a', 'd', 'm', 'u', 's', ' ', '""']]"
36906,a..,a ..,"[['a', ' ', '.', '.']]"
36907,"sị,""Anyi","sị ,  "" anyị ""","[['s', 'ị', ' ', ',', ' ', ' ', '""', ' ', 'a', 'ny', 'ị', ' ', '""']]"
36908,Eziamaka,Eziamaka,"[['E', 'z', 'i', 'a', 'm', 'a', 'k', 'a']]"
36909,zọro,zọ + ro,"[['z', 'ọ'], ['r', 'o']]"
36910,Akwarandu,Akwarandu,"[['A', 'kw', 'a', 'r', 'a', 'n', 'd', 'u']]"
36911,bọọọlụ,bọọlụ,"[['b', 'ọ', 'ọ', 'l', 'ụ']]"
36912,anyike.,anyike .,"[['a', 'ny', 'i', 'k', 'e', ' ', '.']]"
36913,"Mmaku,","Mmaku ,","[['M', 'm', 'a', 'k', 'u', ' ', ',']]"
36914,nọgbụgbụ,nọ + gbu + gbu,"[['n', 'ọ'], ['gb', 'u'], ['gb', 'u']]"
36915,Ikorobia,okorobịa,"[['o', 'k', 'o', 'r', 'o', 'b', 'ị', 'a']]"
36916,Enugwu-Pọtakọt,enugwu + - + Port Harcourt,"[['e', 'n', 'u', 'gw', 'u'], ['-'], ['P', 'o', 'r', 't', ' ', 'H', 'a', 'r', 'c', 'o', 'u', 'r', 't']]"
36917,Crisis:,Crisis :,"[['C', 'r', 'i', 's', 'i', 's', ' ', ':']]"
36918,"ekike,","ekike ,","[['e', 'k', 'i', 'k', 'e', ' ', ',']]"
36919,eriwe.,e + ri + we .,"[['e'], ['r', 'i'], ['w', 'e', ' ', '.']]"
36920,Ndudiri,Ndudiri,"[['N', 'd', 'u', 'd', 'i', 'r', 'i']]"
36921,kirie.,ki + ri + e .,"[['k', 'i'], ['r', 'i'], ['e', ' ', '.']]"
36922,ọhụrụ:,ọhụrụ :,"[['ọ', 'h', 'ụ', 'r', 'ụ', ' ', ':']]"
36923,mgbaokpuru.,mgbaokpuru .,"[['m', 'gb', 'a', 'o', 'kp', 'u', 'r', 'u', ' ', '.']]"
36924,amachịghị?,a + ma + chị + ghị ?,"[['a'], ['m', 'a'], ['ch', 'ị'], ['gh', 'ị', ' ', '?']]"
36925,"ezi""Ite","ezi  "" ite ""","[['e', 'z', 'i', ' ', ' ', '""', ' ', 'i', 't', 'e', ' ', '""']]"
36926,retail,retail,"[['r', 'e', 't', 'a', 'i', 'l']]"
36927,ntorobị,ntorobịa,"[['n', 't', 'o', 'r', 'o', 'b', 'ị', 'a']]"
36928,kpochiri.,kpo + chi + ri .,"[['kp', 'o'], ['ch', 'i'], ['r', 'i', ' ', '.']]"
36929,"Kumasi,","Kumasi ,","[['K', 'u', 'm', 'a', 's', 'i', ' ', ',']]"
36930,Suame,Suame,"[['S', 'u', 'a', 'm', 'e']]"
36931,"Afịrịka!""Onye","afrịka !  "" onye ""","[['a', 'f', 'r', 'ị', 'k', 'a', ' ', '!', ' ', ' ', '""', ' ', 'o', 'ny', 'e', ' ', '""']]"
36932,"Buhari""mewe","Buhari  "" me + we ""","[['B', 'u', 'h', 'a', 'r', 'i', ' ', ' ', '""', ' ', 'm', 'e'], ['w', 'e', ' ', '""']]"
36933,rịa.,rị + a .,"[['r', 'ị'], ['a', ' ', '.']]"
36934,"A"".","a  "" . ""","[['a', ' ', ' ', '""', ' ', '.', ' ', '""']]"
36935,"na""Group","na  "" Group ""","[['n', 'a', ' ', ' ', '""', ' ', 'G', 'r', 'o', 'u', 'p', ' ', '""']]"
36936,"Norway,","Norway ,","[['N', 'o', 'r', 'w', 'a', 'y', ' ', ',']]"
36937,kwesị.,kwe + sị .,"[['kw', 'e'], ['s', 'ị', ' ', '.']]"
36938,DISCOS,DisCos,"[['D', 'i', 's', 'C', 'o', 's']]"
36939,akụrụmangwa,akụrụngwa,"[['a', 'k', 'ụ', 'r', 'ụ', 'n', 'gw', 'a']]"
36940,adị-Osinbajo,a + dị + - + Osinbajo,"[['a'], ['d', 'ị'], ['-'], ['O', 's', 'i', 'n', 'b', 'a', 'j', 'o']]"
36941,akpọkasịghị.,a + kpọ + ka + sị + ghị .,"[['a'], ['kp', 'ọ'], ['k', 'a'], ['s', 'ị'], ['gh', 'ị', ' ', '.']]"
36942,Rites:,Rites :,"[['R', 'i', 't', 'e', 's', ' ', ':']]"
36943,Marriage,Marriage,"[['M', 'a', 'r', 'r', 'i', 'a', 'g', 'e']]"
36944,Warriors,Warriors,"[['W', 'a', 'r', 'r', 'i', 'o', 'r', 's']]"
36945,Kanemi,Kanemi,"[['K', 'a', 'n', 'e', 'm', 'i']]"
36946,Portugal.,Portugal .,"[['P', 'o', 'r', 't', 'u', 'g', 'a', 'l', ' ', '.']]"
36947,ocheghi,o + che + ghị,"[['o'], ['ch', 'e'], ['gh', 'ị']]"
36948,Nuklia,nuklia,"[['n', 'u', 'k', 'l', 'i', 'a']]"
36949,Nille,niile,"[['n', 'i', 'i', 'l', 'e']]"
36950,ntaka,ntaka,"[['n', 't', 'a', 'k', 'a']]"
36951,Platu.,Plateau .,"[['P', 'l', 'a', 't', 'e', 'a', 'u', ' ', '.']]"
36952,Poiwer,Power,"[['P', 'o', 'w', 'e', 'r']]"
36953,mkpụru.,mkpụrụ .,"[['m', 'kp', 'ụ', 'r', 'ụ', ' ', '.']]"
36954,ịnwe.,ị + nwe .,"[['ị'], ['nw', 'e', ' ', '.']]"
36955,akụrụmngwa,akụrụngwa,"[['a', 'k', 'ụ', 'r', 'ụ', 'n', 'gw', 'a']]"
36956,"8000,","8000 ,","[['8', '0', '0', '0', ' ', ',']]"
36957,megawatts,megawatts,"[['m', 'e', 'g', 'a', 'w', 'a', 't', 't', 's']]"
36958,"Naijiria.""Cheta","naịjirịa .  "" che + ta ""","[['n', 'a', 'ị', 'j', 'i', 'r', 'ị', 'a', ' ', '.', ' ', ' ', '""', ' ', 'ch', 'e'], ['t', 'a', ' ', '""']]"
36959,"ọgwụgwọ.""O","ọgwụgwọ .  "" o ""","[['ọ', 'gw', 'ụ', 'gw', 'ọ', ' ', '.', ' ', ' ', '""', ' ', 'o', ' ', '""']]"
36960,"India.""A","India .  "" a ""","[['I', 'n', 'd', 'i', 'a', ' ', '.', ' ', ' ', '""', ' ', 'a', ' ', '""']]"
36961,"ọzọ.""Nke","ọzọ .  "" nke ""","[['ọ', 'z', 'ọ', ' ', '.', ' ', ' ', '""', ' ', 'n', 'k', 'e', ' ', '""']]"
36962,"ọzọ.""Ebumnuche","ọzọ .  "" ebumnuche ""","[['ọ', 'z', 'ọ', ' ', '.', ' ', ' ', '""', ' ', 'e', 'b', 'u', 'm', 'n', 'u', 'ch', 'e', ' ', '""']]"
36963,"otu""Shiite""ndị","otu  "" Shiite "" "" ndị ""","[['o', 't', 'u', ' ', ' ', '""', ' ', 'Sh', 'i', 'i', 't', 'e', ' ', '""', ' ', '""', ' ', 'n', 'd', 'ị', ' ', '""']]"
36964,"Commission""nakwa","Commission  "" na + kwa ""","[['C', 'o', 'm', 'm', 'i', 's', 's', 'i', 'o', 'n', ' ', ' ', '""', ' ', 'n', 'a'], ['kw', 'a', ' ', '""']]"
36965,"Singh.""Ọ","Singh .  "" ọ ""","[['S', 'i', 'n', 'gh', ' ', '.', ' ', ' ', '""', ' ', 'ọ', ' ', '""']]"
36966,Gunjan,Gunjan,"[['G', 'u', 'n', 'j', 'a', 'n']]"
36967,Chaudary,Chaudhary,"[['Ch', 'a', 'u', 'd', 'h', 'a', 'r', 'y']]"
36968,Zia,Zia,"[['Z', 'i', 'a']]"
36969,El-Zazaky,El-Zakzaky,"[['E', 'l', '-', 'Z', 'a', 'k', 'z', 'a', 'k', 'y']]"
36970,gaarala,ga + a + ra + la,"[['g', 'a'], ['a'], ['r', 'a'], ['l', 'a']]"
36971,a-Gọọmentị,a + - + gọọmentị,"[['a'], ['-'], ['g', 'ọ', 'ọ', 'm', 'e', 'n', 't', 'ị']]"
36972,Ọlụlu,ọlụlụ,"[['ọ', 'l', 'ụ', 'l', 'ụ']]"
36973,Ariwa,Arewa,"[['A', 'r', 'e', 'w', 'a']]"
36974,Naíjiria,naịjirịa,"[['n', 'a', 'ị', 'j', 'i', 'r', 'ị', 'a']]"
36975,efetuo.,e + fe + tu + o .,"[['e'], ['f', 'e'], ['t', 'u'], ['o', ' ', '.']]"
36976,ga-abata.,ga- + a + ba + ta .,"[['g', 'a', '-'], ['a'], ['b', 'a'], ['t', 'a', ' ', '.']]"
36977,batala.,ba + ta + la .,"[['b', 'a'], ['t', 'a'], ['l', 'a', ' ', '.']]"
36978,79,79,"[['7', '9']]"
36979,Ikombaụwa,ikombaụwa,"[['i', 'k', 'o', 'm', 'b', 'a', 'ụ', 'w', 'a']]"
36980,nwamkpi?,nwamkpị ?,"[['nw', 'a', 'm', 'kp', 'ị', ' ', '?']]"
36981,na-omezughi,na-e + me + zu + ghị,"[['n', 'a', '-', 'e'], ['m', 'e'], ['z', 'u'], ['gh', 'ị']]"
36982,Britherhood,Brotherhood,"[['B', 'r', 'o', 't', 'h', 'e', 'r', 'h', 'o', 'o', 'd']]"
36983,ọkamụta.,ọkammụta .,"[['ọ', 'k', 'a', 'm', 'm', 'ụ', 't', 'a', ' ', '.']]"
36984,1951.,1951 .,"[['1', '9', '5', '1', ' ', '.']]"
36985,Sharqiya,Sharqia,"[['Sh', 'a', 'r', 'q', 'i', 'a']]"
36986,"Delta""nke","Delta  "" nke ""","[['D', 'e', 'l', 't', 'a', ' ', ' ', '""', ' ', 'n', 'k', 'e', ' ', '""']]"
36987,"Mpahra""Nile","mpaghara  "" Nile ""","[['m', 'p', 'a', 'gh', 'a', 'r', 'a', ' ', ' ', '""', ' ', 'N', 'i', 'l', 'e', ' ', '""']]"
36988,El-Adwah,El-Adwah,"[['E', 'l', '-', 'A', 'd', 'w', 'a', 'h']]"
36989,onyeisial,onye + isi + ala,"[['o', 'ny', 'e'], ['i', 's', 'i'], ['a', 'l', 'a']]"
36990,Ugbua-Fifa,ugbu + a + - + FIFA,"[['u', 'gb', 'u'], ['a'], ['-'], ['F', 'I', 'F', 'A']]"
36991,"ha.""Nke","ha .  "" nke ""","[['h', 'a', ' ', '.', ' ', ' ', '""', ' ', 'n', 'k', 'e', ' ', '""']]"
36992,(CCTV),( CCTV ),"[['(', ' ', 'C', 'C', 'T', 'V', ' ', ')']]"
36993,"ọdịnihu.""Anyị","ọdịnihu .  "" anyị ""","[['ọ', 'd', 'ị', 'n', 'i', 'h', 'u', ' ', '.', ' ', ' ', '""', ' ', 'a', 'ny', 'ị', ' ', '""']]"
36994,"na-eme.""O","na-e + me .  "" o ""","[['n', 'a', '-', 'e'], ['m', 'e', ' ', '.', ' ', ' ', '""', ' ', 'o', ' ', '""']]"
36995,Sapele,Sapele,"[['S', 'a', 'p', 'e', 'l', 'e']]"
36996,R.,R .,"[['R', ' ', '.']]"
36997,Latrịk.,latrik .,"[['l', 'a', 't', 'r', 'i', 'k', ' ', '.']]"
36998,na-okpuru,na- + okpuru,"[['n', 'a', '-'], ['o', 'kp', 'u', 'r', 'u']]"
36999,417.01,417.01,"[['4', '1', '7', '.', '0', '1']]"
37000,4633.42,4633.42,"[['4', '6', '3', '3', '.', '4', '2']]"
37001,ga-ebunwu.,ga- + e + bu + nwu .,"[['g', 'a', '-'], ['e'], ['b', 'u'], ['nw', 'u', ' ', '.']]"
37002,ibupụta.,i + bu + pụ + ta .,"[['i'], ['b', 'u'], ['p', 'ụ'], ['t', 'a', ' ', '.']]"
37003,"MW,","MW ,","[['M', 'W', ' ', ',']]"
37004,(NDPHC),( NDPHC ),"[['(', ' ', 'N', 'D', 'P', 'H', 'C', ' ', ')']]"
37005,Generation:,Generation :,"[['G', 'e', 'n', 'e', 'r', 'a', 't', 'i', 'o', 'n', ' ', ':']]"
37006,1.36.,1.36 .,"[['1', '.', '3', '6', ' ', '.']]"
37007,"1.26,","1.26 ,","[['1', '.', '2', '6', ' ', ',']]"
37008,Drop:,Drop :,"[['D', 'r', 'o', 'p', ' ', ':']]"
37009,Morsi?,Morsi ?,"[['M', 'o', 'r', 's', 'i', ' ', '?']]"
37010,nkle,nke,"[['n', 'k', 'e']]"
37011,Hamas,Hamas,"[['H', 'a', 'm', 'a', 's']]"
37012,"Brotherhood"",","Brotherhood  "" , ""","[['B', 'r', 'o', 't', 'h', 'e', 'r', 'h', 'o', 'o', 'd', ' ', ' ', '""', ' ', ',', ' ', '""']]"
37013,"akpọrọ""Muslim","a + kpọ + rọ  "" Muslim ""","[['a'], ['kp', 'ọ'], ['r', 'ọ', ' ', ' ', '""', ' ', 'M', 'u', 's', 'l', 'i', 'm', ' ', '""']]"
37014,Alakọba,alakụba,"[['a', 'l', 'a', 'k', 'ụ', 'b', 'a']]"
37015,"nwụọ,""Abdel","nwụ + ọ ,  "" Abdel ""","[['nw', 'ụ'], ['ọ', ' ', ',', ' ', ' ', '""', ' ', 'A', 'b', 'd', 'e', 'l', ' ', '""']]"
37016,Cairo.,Cairo .,"[['C', 'a', 'i', 'r', 'o', ' ', '.']]"
37017,Morsi:,Morsi :,"[['M', 'o', 'r', 's', 'i', ' ', ':']]"
37018,Subsidy,Subsidy,"[['S', 'u', 'b', 's', 'i', 'd', 'y']]"
37019,Salary,Salary,"[['S', 'a', 'l', 'a', 'r', 'y']]"
37020,Inflation,Inflation,"[['I', 'n', 'f', 'l', 'a', 't', 'i', 'o', 'n']]"
37021,nwụọ-Fada,nwụ + ọ + - + fada,"[['nw', 'ụ'], ['ọ'], ['-'], ['f', 'a', 'd', 'a']]"
37022,ogun,Ogun,"[['O', 'g', 'u', 'n']]"
37023,"Ajomale,","Ajomale ,","[['A', 'j', 'o', 'm', 'a', 'l', 'e', ' ', ',']]"
37024,"38,","38 ,","[['3', '8', ' ', ',']]"
37025,Chibuko,Chibuko,"[['Ch', 'i', 'b', 'u', 'k', 'o']]"
37026,ntorị,n + tọ + rị,"[['n'], ['t', 'ọ'], ['r', 'ị']]"
37027,gbaga.,gba + ga .,"[['gb', 'a'], ['g', 'a', ' ', '.']]"
37028,ogbubu,ogbugbu,"[['o', 'gb', 'u', 'gb', 'u']]"
37029,Duna,Duna,"[['D', 'u', 'n', 'a']]"
37030,Mojapan,Mojapan,"[['M', 'o', 'j', 'a', 'p', 'a', 'n']]"
37031,Lagu,Lagu,"[['L', 'a', 'g', 'u']]"
37032,"Basulugu,","Basulugu ,","[['B', 'a', 's', 'u', 'l', 'u', 'g', 'u', ' ', ',']]"
37033,"Tobe,","Tobe ,","[['T', 'o', 'b', 'e', ' ', ',']]"
37034,El-Zakzaky-Gọọmentị,El-Zakzaky + - + gọọmentị,"[['E', 'l', '-', 'Z', 'a', 'k', 'z', 'a', 'k', 'y'], ['-'], ['g', 'ọ', 'ọ', 'm', 'e', 'n', 't', 'ị']]"
37035,Kọmịtị,kọmiti,"[['k', 'ọ', 'm', 'i', 't', 'i']]"
37036,Greenland.,Greenland .,"[['G', 'r', 'e', 'e', 'n', 'l', 'a', 'n', 'd', ' ', '.']]"
37037,Greenlad,Greenland,"[['G', 'r', 'e', 'e', 'n', 'l', 'a', 'n', 'd']]"
37038,Teacher,Teacher,"[['T', 'e', 'a', 'ch', 'e', 'r']]"
37039,praịmarị,praịmarị,"[['p', 'r', 'a', 'ị', 'm', 'a', 'r', 'ị']]"
37040,Ugbua:,ugbu + a :,"[['u', 'gb', 'u'], ['a', ' ', ':']]"
37041,"ọzọ""-","ọzọ  "" - ""","[['ọ', 'z', 'ọ', ' ', ' ', '""', ' ', '-', ' ', '""']]"
37042,asamobodo,asambodo,"[['a', 's', 'a', 'm', 'b', 'o', 'd', 'o']]"
37043,"ekwensu""Anyị","ekwensu  "" anyị ""","[['e', 'kw', 'e', 'n', 's', 'u', ' ', ' ', '""', ' ', 'a', 'ny', 'ị', ' ', '""']]"
37044,Ụkọchụkwu,ụkọchukwu,"[['ụ', 'k', 'ọ', 'ch', 'u', 'kw', 'u']]"
37045,Shengli,Shengli,"[['Sh', 'e', 'n', 'g', 'l', 'i']]"
37046,"akwụkwọ""Francisca","akwụkwọ  "" Francisca ""","[['a', 'kw', 'ụ', 'kw', 'ọ', ' ', ' ', '""', ' ', 'F', 'r', 'a', 'n', 'c', 'i', 's', 'c', 'a', ' ', '""']]"
37047,"ọnụ.""N’","ọnụ .  "" n' ""","[['ọ', 'n', 'ụ', ' ', '.', ' ', ' ', '""', ' ', 'n', ""'"", ' ', '""']]"
37048,champions,Champions,"[['Ch', 'a', 'm', 'p', 'i', 'o', 'n', 's']]"
37049,nweterala,nwe + te + ra + la,"[['nw', 'e'], ['t', 'e'], ['r', 'a'], ['l', 'a']]"
37050,Leukemia.,Leukemia .,"[['L', 'e', 'u', 'k', 'e', 'm', 'i', 'a', ' ', '.']]"
37051,Ajomale,Ajomale,"[['A', 'j', 'o', 'm', 'a', 'l', 'e']]"
37052,Wasui,Wasiu,"[['W', 'a', 's', 'i', 'u']]"
37053,River.,River .,"[['R', 'i', 'v', 'e', 'r', ' ', '.']]"
37054,leader,leader,"[['l', 'e', 'a', 'd', 'e', 'r']]"
37055,Protest,Protest,"[['P', 'r', 'o', 't', 'e', 's', 't']]"
37056,"Yakubu,","Yakubu ,","[['Y', 'a', 'k', 'u', 'b', 'u', ' ', ',']]"
37057,Amatabeghi,a + ma + ta + be + ghị,"[['a'], ['m', 'a'], ['t', 'a'], ['b', 'e'], ['gh', 'ị']]"
37058,"Airport""Enugwu","Airport  "" enugwu ""","[['A', 'i', 'r', 'p', 'o', 'r', 't', ' ', ' ', '""', ' ', 'e', 'n', 'u', 'gw', 'u', ' ', '""']]"
37059,"ogige""Akanu","ogige  "" Akanu ""","[['o', 'g', 'i', 'g', 'e', ' ', ' ', '""', ' ', 'A', 'k', 'a', 'n', 'u', ' ', '""']]"
37060,Lukemia,Leukemia,"[['L', 'e', 'u', 'k', 'e', 'm', 'i', 'a']]"
37061,Jamani.,jamanị .,"[['j', 'a', 'm', 'a', 'n', 'ị', ' ', '.']]"
37062,Dusseldorf,Düsseldorf,"[['D', 'ü', 's', 's', 'e', 'l', 'd', 'o', 'r', 'f']]"
37063,Okoye?,Okoye ?,"[['O', 'k', 'o', 'y', 'e', ' ', '?']]"
37064,nụ...,nụ ...,"[['n', 'ụ', ' ', '.', '.', '.']]"
37065,Hmmm..,hmmm ..,"[['h', 'm', 'm', 'm', ' ', '.', '.']]"
37066,Etikwa,e + ti + kwa,"[['e'], ['t', 'i'], ['kw', 'a']]"
37067,"maka,","maka ,","[['m', 'a', 'k', 'a', ' ', ',']]"
37068,"(NFF)""dere","( NFF )  "" de + re ""","[['(', ' ', 'N', 'F', 'F', ' ', ')', ' ', ' ', '""', ' ', 'd', 'e'], ['r', 'e', ' ', '""']]"
37069,capital,capital,"[['c', 'a', 'p', 'i', 't', 'a', 'l']]"
37070,TMC,TMC,"[['T', 'M', 'C']]"
37071,"nd-L),","nd-L ) ,","[['n', 'd', '-', 'L', ' ', ')', ' ', ',']]"
37072,"Daglo""Hemeti""(2","Daglo  "" Hemeti "" "" ( 2 ""","[['D', 'a', 'g', 'l', 'o', ' ', ' ', '""', ' ', 'H', 'e', 'm', 'e', 't', 'i', ' ', '""', ' ', '""', ' ', '(', ' ', '2', ' ', '""']]"
37073,Hamdan,Hamdan,"[['H', 'a', 'm', 'd', 'a', 'n']]"
37074,accompanied,accompanied,"[['a', 'c', 'c', 'o', 'm', 'p', 'a', 'n', 'i', 'e', 'd']]"
37075,Khartoum,Khartoum,"[['K', 'h', 'a', 'r', 't', 'o', 'u', 'm']]"
37076,ceremony,ceremony,"[['c', 'e', 'r', 'e', 'm', 'o', 'ny']]"
37077,signing,signing,"[['s', 'i', 'g', 'n', 'i', 'n', 'g']]"
37078,during,during,"[['d', 'u', 'r', 'i', 'n', 'g']]"
37079,Transitional,Transitional,"[['T', 'r', 'a', 'n', 's', 'i', 't', 'i', 'o', 'n', 'a', 'l']]"
37080,ruling,ruling,"[['r', 'u', 'l', 'i', 'n', 'g']]"
37081,head,head,"[['h', 'e', 'a', 'd']]"
37082,"(C),","( C ) ,","[['(', ' ', 'C', ' ', ')', ' ', ',']]"
37083,Lt-Gen,Lt-Gen,"[['L', 't', '-', 'G', 'e', 'n']]"
37084,alongside,alongside,"[['a', 'l', 'o', 'n', 'g', 's', 'i', 'd', 'e']]"
37085,nd-R),nd-R ),"[['n', 'd', '-', 'R', ' ', ')']]"
37086,"(L),","( L ) ,","[['(', ' ', 'L', ' ', ')', ' ', ',']]"
37087,"paramilitaries,","paramilitaries ,","[['p', 'a', 'r', 'a', 'm', 'i', 'l', 'i', 't', 'a', 'r', 'i', 'e', 's', ' ', ',']]"
37088,Forces,Forces,"[['F', 'o', 'r', 'c', 'e', 's']]"
37089,Ịsonye,ị + so + nye,"[['ị'], ['s', 'o'], ['ny', 'e']]"
37090,TETFund,TETFund,"[['T', 'E', 'T', 'F', 'u', 'n', 'd']]"
37091,Uganda.,Uganda .,"[['U', 'g', 'a', 'n', 'd', 'a', ' ', '.']]"
37092,ahụlanoo,a + hụ + la + nọọ,"[['a'], ['h', 'ụ'], ['l', 'a'], ['n', 'ọ', 'ọ']]"
37093,"Museveni,","Museveni ,","[['M', 'u', 's', 'e', 'v', 'e', 'n', 'i', ' ', ',']]"
37094,Yoweri,Yoweri,"[['Y', 'o', 'w', 'e', 'r', 'i']]"
37095,Ejidele,e + ji + de + le,"[['e'], ['j', 'i'], ['d', 'e'], ['l', 'e']]"
37096,mkpanaka.,mkpanaka .,"[['m', 'kp', 'a', 'n', 'a', 'k', 'a', ' ', '.']]"
37097,Adenipekun,Adenipekun,"[['A', 'd', 'e', 'n', 'i', 'p', 'e', 'k', 'u', 'n']]"
37098,ofuo.,o + fu + o .,"[['o'], ['f', 'u'], ['o', ' ', '.']]"
37099,commander,commander,"[['c', 'o', 'm', 'm', 'a', 'n', 'd', 'e', 'r']]"
37100,chief,chief,"[['ch', 'i', 'e', 'f']]"
37101,deputy,deputy,"[['d', 'e', 'p', 'u', 't', 'y']]"
37102,vendor:,vendor :,"[['v', 'e', 'n', 'd', 'o', 'r', ' ', ':']]"
37103,Aduriz,Aduriz,"[['A', 'd', 'u', 'r', 'i', 'z']]"
37104,Aritz,Aritz,"[['A', 'r', 'i', 't', 'z']]"
37105,njọahịa,njọahịa,"[['n', 'j', 'ọ', 'a', 'h', 'ị', 'a']]"
37106,Ụgbọmmiri,ụgbọmmiri,"[['ụ', 'gb', 'ọ', 'm', 'm', 'i', 'r', 'i']]"
37107,Gibraltar,Gibraltar,"[['G', 'i', 'b', 'r', 'a', 'l', 't', 'a', 'r']]"
37108,(P,( P,"[['(', ' ', 'P']]"
37109,1-1.,1 - 1 .,"[['1', ' ', '-', ' ', '1', ' ', '.']]"
37110,"3-1,","3 - 1 ,","[['3', ' ', '-', ' ', '1', ' ', ',']]"
37111,1-0.,1 - 0 .,"[['1', ' ', '-', ' ', '0', ' ', '.']]"
37112,celebrates,celebrates,"[['c', 'e', 'l', 'e', 'b', 'r', 'a', 't', 'e', 's']]"
37113,Southampton.,Southampton .,"[['S', 'o', 'u', 't', 'h', 'a', 'm', 'p', 't', 'o', 'n', ' ', '.']]"
37114,"asọmpị""English","asọmpi  "" English ""","[['a', 's', 'ọ', 'm', 'p', 'i', ' ', ' ', '""', ' ', 'E', 'n', 'g', 'l', 'i', 'sh', ' ', '""']]"
37115,"Al-Bashir,","Al-Bashir ,","[['A', 'l', '-', 'B', 'a', 'sh', 'i', 'r', ' ', ',']]"
37116,rd-L),rd-L ),"[['r', 'd', '-', 'L', ' ', ')']]"
37117,Chadian,Chadian,"[['Ch', 'a', 'd', 'i', 'a', 'n']]"
37118,Akatọọla,a + ka + tọ + ọ + la,"[['a'], ['k', 'a'], ['t', 'ọ'], ['ọ'], ['l', 'a']]"
37119,ntị-Nnamdi,ntị + - + Nnamdi,"[['n', 't', 'ị'], ['-'], ['N', 'n', 'a', 'm', 'd', 'i']]"
37120,Nkanụ,Nkanu,"[['N', 'k', 'a', 'n', 'u']]"
37121,Agbani-Ugbụawka,Agbani + - + Ugbawka,"[['A', 'gb', 'a', 'n', 'i'], ['-'], ['U', 'gb', 'a', 'w', 'k', 'a']]"
37122,ụgbọghiri.,ugboguru .,"[['u', 'gb', 'o', 'g', 'u', 'r', 'u', ' ', '.']]"
37123,"ahụ.""Atọhapụla","ahụ .  "" a + tọ + ha + pụ + la ""","[['a', 'h', 'ụ', ' ', '.', ' ', ' ', '""', ' ', 'a'], ['t', 'ọ'], ['h', 'a'], ['p', 'ụ'], ['l', 'a', ' ', '""']]"
37124,Kachalla,Kachalla,"[['K', 'a', 'ch', 'a', 'l', 'l', 'a']]"
37125,ogbunonweya,ogbu + n' + onwe + ya,"[['o', 'gb', 'u'], ['n', ""'""], ['o', 'nw', 'e'], ['y', 'a']]"
37126,Sungngoen,Sungngoen,"[['S', 'u', 'n', 'g', 'n', 'g', 'o', 'e', 'n']]"
37127,Kanjana,Kanjana,"[['K', 'a', 'n', 'j', 'a', 'n', 'a']]"
37128,Rubensson.,Rubensson .,"[['R', 'u', 'b', 'e', 'n', 's', 's', 'o', 'n', ' ', '.']]"
37129,Elin,Elin,"[['E', 'l', 'i', 'n']]"
37130,Huritg,Hurtig,"[['H', 'u', 'r', 't', 'i', 'g']]"
37131,"Rolfo,","Rolfö ,","[['R', 'o', 'l', 'f', 'ö', ' ', ',']]"
37132,Fridolina,Fridolina,"[['F', 'r', 'i', 'd', 'o', 'l', 'i', 'n', 'a']]"
37133,Anịegboka,Aniegboka,"[['A', 'n', 'i', 'e', 'gb', 'o', 'k', 'a']]"
